indice,gauche,droit,texte,image
10,11,12,"Le Roi congédie les personnes présentes dans la salle du trône.
- Il y a de cela trois jour, ma fille a été enlevée. D’après un message que j'ai reçu, elle doit être prisonnière d'une vil créature. J'ai besoin de quelqu’un de confiance et de débrouillard pour aller la sauver.
- Si vous me permettez la question: pourquoi moi ? Vous avez des gardes à votre service. 
- Si la nouvelle de sa disparition venait à se répandre, des personnes mal intentionnées pourraient profiter de l'occasion, dont mon personnel. Je ne peux faire confiance qu'à un nombre restreint de personnes et tu as toute ma confiance.
Le phœnix te demande alors: - Acceptes-tu de l’aider ? 
[GAUCHE] Tu acceptes, mais avec scepticisme...
[DROITE] Tu ne te penses pas apte à cette mission.",6.png
11,13,0,"Le roi te remercie, il semble soulagé et reconnaissant. Mais dans ses yeux tu remarques le passage d'une lueur de malice ... 
- Tu es le jeune homme le plus téméraire que je connaisse. Tu ne recules pas devant l'inconnu ou le danger. Cela me rappelle le jour où tu as mis ta vie en danger pour dompter ce cheval qui a faillit tuer son dresseur. Tu n'as pas hésité. 
J'apprécie énormément la peinture qui en a été faite, que j'ai le plaisir de voir chaque fois que je vais dans la... la... bibliothèque. 
- Un tableau rien que de toi, quel honneur, se moque le phœnix.",6.png
12,13,0,"Une rapide expression d’agacement passe sur le visage du roi mais disparaît aussitôt. 
-  Comment peux-tu penser ne pas être apte. Tu es le jeune homme le plus téméraire que je connaisse. Tu ne recules pas devant l'inconnu ou le danger. Cela me rappelle le jour où tu as mis ta vie en danger pour dompter ce cheval qui a faillit tuer son dresseur. Tu n'as pas hésité. 
J'apprécie énormément la peinture qui en a été faite, que j'ai le plaisir de voir chaque fois que je vais dans la... la... bibliothèque. 
- Un tableau rien que de toi, quel honneur, se moque le phœnix.",6.png
13,15,14,"- Bien, comme je l’ai dit le temps nous est compté mais il te faut tout de même te reposer, tu sembles avoir fait une longue route pour venir jusqu'ici. Je t’ai fait préparer une chambre digne de ton courage.” Il appelle les gardes et ordonne: 'Gardes emmenez notre cher invité jusqu'à sa chambre.
Une fois arrivé et les gardes partis, le phœnix te demande : - Que souhaites-tu faire ? 
[GAUCHE] Profiter de cette somptueuse chambre ou
[DROITE] aller admirer ton tableau.",6.png
14,16,0,"Tu sors de ta chambre et pars en direction de deux gardes, qui patrouillent, pour leur demander: 
- Excusez moi ou est la bibliothèque s’il vous plaît ?
Les gardes sont surpris, ils se regardent et t'indiquent le chemin.",14.png
15,120,0,"La chambre est imposante, sophistiquée et semble d’un grand confort. Tu prends un long bain reposant dans la grande baignoire.",15.png
16,17,0,"Tu te rends à la bibliothèque. Lorsque tu arrives, tu ouvres les grandes portes en bois massif, découvres une grande bibliothèque avec des étagères remplies de livres à couvertures ornées. Cette pièce est magnifique mais au mur, aucun tableau, étrange.",bibliotheque.jpg
17,18,19,"Tu vas ensuite voir un homme à lunette qui ressemble à un bibliothécaire pour le questionner au sujet du tableau. Il te répond: - Je n'ai jamais vu de tableau comme celui-là ici et je pense qu'il n’y en a jamais eu. 
Tu lui répète les paroles du roi. Le bibliothécaire écarquille les yeux et semble paniqué par cette information. Il répond rapidement et en balbutiant : 
- Je... j'ai… du me tromper... 
Et soudain le souvenir du tableau lui revient.
- Il a été déplacé dans une autre bibliothèque.
Il prend congé avant que tu n'ais pu lui demander autre chose. Tu murmures : - Mmhhh...Étrange...
[GAUCHE] Tu repars dans ta chambre 
[DROITE] Tu restes pour éplucher les registres de naissance",bibliothequeEtHomme.png
18,20,0,"En sortant de la bibliothèque tu entends la conversation de deux gardes en ronde: 
- Pourquoi est-il venu dans la bibliothèque à ton avis ?
- Je n’en sait rien, c’est certainement en rapport avec l’histoire que lui a raconté le roi
- Gérald m’a dit qu’il avait réussi à entendre des bribes de leur conversation. Il lui aurait dit qu’il devait sauver sa fille !
- Sa fille ? Mais il n’en a pas
- Oui ! Mais le garçon semblait tellement convaincu quand il est sorti, si tu avais pu voir sa tête. On aurait dit qu’il devait sauver le monde !
Les deux gardes se mettent à rire discrètement et poursuivent leur ronde. Le roi a menti, pourquoi ? Cette quête à quoi sert-elle alors ? 
Tu décides de retourner dans ta chambre car la nuit est sur le point de tomber.",14.png
19,20,0,"Tu tires les registres de son initiale. Tu cherches son nom dans les pages. Tu arrives à la fin des registres mais toujours pas son nom.. Tu es pourtant d’une famille noble, ta naissance dois avoir été répertorié. Tu regardes dans les autres registres avec l’initiale de son nom de famille, toujours rien. Il ne semble y avoir aucune trace de toi. On dirait que tout le monde ment sur ton existence: le tableau qui revient miraculeusement à l’esprit du bibliothécaire lorsqu’il a mentionné le roi, l’absence de son nom dans ces registres. Tout cela est très étrange. Tu décides de retourner dans sa chambre car la nuit est sur le point de tomber. ",21.jpeg
20,21,0,"Tu traverses plusieurs couloirs mais au bout d'un moment tu ne reconnais plus où tu es. Tu ne veux pas demander au personnel, tu ne peux faire confiance à personne et il risque de comprendre que tu n'es pas un noble. Alors que tu arrives dans un cul-de-sac, tu entends des gardes, arriver. La seule sortie est un escalier sur ta droite.",22.jpeg
21,22,0,"Tu le prends et arrive dans un autre couloir avec une seule porte. Une mélodie parvient de derrière celle-ci. Une mélodie qui te semble familière mais étrange. Intrigué, tu te diriges vers la porte, l’ouvres et rentres.",23.jpg
22,23,24,"Un homme est couché sur un lit, un livre entre les mains, il te dévisage alors que tu es sur le point de ressortir  en t'excusant. Soudain tu re entends les gardes qui descendent l'escalier. L'homme comprend alors rapidement la situation et t'indique :
'Vite cache toi sous ce lit'. Tu remarque aussi un canapé assez épais pour s'y cacher. 
[GAUCHE] Tu te cache sous le lit 
[DROITE]Tu te places derrière la porte",chambredenemes.jpeg
23,25,0,"Les gardes entrent au moment où tu te glisses sous le lit. Un des gardes se met à marcher dans la chambre, l’autre reste immobile. L'homme leur dit:
 “Vous espérez trouver quoi aujourd’hui, un reste de mon déjeuner ? On non, vous voulez me retirer ce livre que j’ai récupéré ?”
'Tais toi.' réplique le garde immobile.
Alors qu’ils vont partir, celui qui marchait dans la chambre se rapproche de toi.
“Qu’est ce que ..?”
Il regarde sous le lit et te voit. L’homme attrape alors son draps et l'enroule autour de la tête du garde proche de lui. Celui qui t'a découvert se retourne pour voir ce qu’il se passe et tente d'aller d’aider son camarade. Cela te laisse le temps de retirer une pierre du mur et de frapper le garde à la tête.",chambredenemes.jpeg
24,25,0, Tu te places derrière la porte. Lorsque les gardes entrent dans la chambre tu frappes le plus proche à la tête. L’homme attrape alors son drap et l'enroule autour de la tête de l’autre garde.,chambredenemes+nemes.png
25,26,0,"Les deux gardes sont à terre.
“J’ai tué un homme...” ta voix est étranglé par la culpabilité.
 “Non, je ne pense pas, ils sont tous les deux inconscients' répond l'homme.
Tu ressens un profond soulagement. “Mais qui es-tu au juste ?” demandes-tu en faisant face à cet inconnu qui t'a aidé.
“ Je m’appelle Nemes, enchantée. Et toi, si je ne me trompe pas, tu es finalement arrivé. Ils avaient peur que tu choisisses une destination plus ... boisée.”
“Je ne comprend pas, nous nous connaissons ? Vous êtes aussi d’une noble famille ?”",chambredenemes+nemes.png
26,27,0,"“Quoi ? Non.' s'étonne-t-il. 'C'est cela qu’ils t’ont raconté ? Pourquoi crois-tu être ici au juste ?”
“Honnêtement je ne sais plus. Rien n’est cohérent. Je suis censée sauver la fille du roi mais j'ai l'impression que tout ce qu'on m'a dit n'est qu'un tissu de mensonge. Je ne sais ni comment je suis arrivé ici, ni ce que je suis censé faire ..”
“Ne t'inquiètes pas, je te comprends, j’ai été à ta place.”
“Comment ?”
“Je vais essayer de faire court, mais ça va te sembler dingue je pense”",chambredenemes+nemes.png
27,28,29,"'Ce monde, ces gens, on n'y appartient pas. Enfaite on ne viens d'un autre monde. Je sais, ça a l'air d'être n'importe quoi.
D'abord il faut que tu saches qu'il existe plusieurs 'réalités'. Elles se présentent toutes de manière différente. On peut y entrer grâce à des 'ponts' qui sont extrêmement bien cachés, voire inaccessibles. Je ne sais pas comment on est entré dans celle-là, mais je sais presque comment en sortir. Ce monde fonctionne avec des 'quêtes' et chaque actions peut nous mener sur des chemins différents. Tu ne te rappelles certainement pas ce que c'est mais on peut comparer tout ça a un jeux vidéo.'
Tu ne savais pas ce qu'était un 'jeux-vidéo', en effet.
'Je suis coincé moi aussi, mais depuis bien plus longtemps que toi, j'ai eu le temps de comprendre ce monde et j'ai très envie d'en sortir.’
[GAUCHE] Tu le crois 
[DROITE] 'Pourquoi tu ne te rappelles de rien ?'",chambredenemes+nemes.png
28,30,0,"'C'est complètement dingue. Mais pourtant j’y crois. Nous devons donc trouver le 'pont' pour rejoindre notre monde?'
Après une brève hésitation Nemes acquiesça.
'Mais pourquoi le roi m'a raconté tout ça ?'
'Il veut aller dans notre monde. En fait je ne suis pas le premier à être arrivé ici et tu ne seras pas le dernier. Le roi est fasciné par notre monde et veut a tout prix y entrer'
'En quoi cela est-il mal ?'
'Nous avons eu de la chance que de notre monde à celui là le passage ai été sans impacte mais dans l'autre sens on ne sait ce que ça pourrait engendrer. Il pourrait arriver dans notre monde avec un corps totalement différent, voire 'caser' notre monde. Bref, ce n'est pas du tout négociable, il ne doit jamais franchir ce 'pont''",chambredenemes+nemes.png
29,30,0,"Comment se fait-il que je ne me rappelle de rien ?” “ ça jsp mais les souvenirs vont te revenir. Les miens sont revenus après quelques semaines” 'Quelques semaines ?? Je n’ai pas l’intention de rester aussi longtemps !” “Tu ne vas pas vmt avoir le choix, pour sortir, il faut faire plusieurs “quêtes” et ça peut prendre plusieurs semaines. Dis toi que tu ne vas pas sortir avant un mois au moins.” Perso choqué et dépité mais doivent sortir.",chambredenemes+nemes.png
30,32,31,"La nuit est tombée. Il vous faut maintenant vous enfuir. Tu proposes : 
[GAUCHE] mettre les vêtements des gardes 
[DROITE] se faire passer pour des servants",gardeouservant.png
31,32,0,"Nemes est surprit par la proposition. 
- Tu veux voler leurs vêtements à des servants ? Autant prendre ceux des gardes qui sont là !?
Il est vrai que sa proposition est plus intelligente",chambredenemes+nemes.png
32,33,0,Vous enfiler les vêtements des gardes pour sortir sans être repéré. Vous remontez l’escalier et faites une ronde jusqu'à ta chambre  pour y récupérer ton Phoenix.,22.jpeg
33,34,0,"Ensuite, vous vous dirigez vers les cuisines pour voler à manger. Là vous rencontrez Clada, une servante avec qui Nemes est ami. Après que Nemes lui ai expliqué la situation, elle vous indique une porte étroite pour sortir.",35.png
34,35,36,"Mais quand vous la franchissez, des sentinelles vous voient et demandent : 'Qu'allez vous faire avec cette servante?'. Nemes répond: 'On a une affaire à régler.' Les sentinelles vous regardent tout les deux avec un air malicieux. Vous partez avec la servante jusqu’au bois puis Nemes lui dit au revoir qui rentre au château par un autre chemin. 
[GAUCHE] Demander à Nemes comment il connaît Clada
[DROITE] Partir au plus vite",boisnuitnemes+cladia.png
35,36,0,"'Quand j'ai été fait prisonnier par le roi, c'est elle qui était chargé de m'apporter mes repas. On a commencé a sympathiser quand elle a réalisé que je n'était pas un 'dangereux criminel'. C'est elle qui m'apportait de quoi passer le temps, comme des livres.
Elle va me manquer quand je serais sorti.'
Sa tristesse est audible dans sa voix. Grace a elle vous avez pu sortir du château. Elle va te manquer aussi.",none
36,37,0,"- Maintenant qu'on est sortis, où est ce 'pont' ?
- Pour arriver au pont il faut accomplir des 'quêtes', je te l'ai dit. On doit d'abord trouver une clé.
- Pourquoi une clé ?
- Tu verras. Je sais où elle est, suit moi.",52.png
37,38,0,"Après plusieurs jours de marche, vous arrivez à l’entrée d’une grotte. Nemes te dit : 'Restes dehors et attends pendant que je vais la récupérer.'
Il s’enfonce dans les profondeurs de la grotte. Tu es seul et t’installe sous un arbre pour te reposer. Tes pieds te font mal à force de marcher.",piedarbre.jpg
38,39,0,"Tu vois alors un petit enfant, seul, qui te regarde. L’enfant approche et tu réalises que ça peau scintille, comme faites de minuscules  pierres précieuses. Tu lui demandes 'Tu es perdu petit?'
L'enfant te répond que non, il est avec des amis mais ils ne font que répéter une comptine qu’il n’aime pas. Il t'explique qu'elle parle d'un homme qui est perdu dans l'inconnu. Il ne fait que se filler à des menteurs ce qui l'empêche d'avancer. La comptine se finie par
“Une clé, une porte. Ils veulent tous s'échapper, mais comment y arriver ? Une seule clé, une seule porte.”",piedarbreenfant.jpg.png
39,40,0,"'Cet homme c'est toi' te dis le phœnix avant de s'envoler pour se poser sur une haute branche.
Qu'est ce que ça veut dire ? Une seule personne peut franchir le pont ? Nemes et toi ne pouvez pas tout les deux sortir alors ! Mais il a dit qu'il savait comment fonctionnait ces 'ponts'. Il t'aurait caché cette info pour pouvoir s’échapper seul et te laisser dans ce monde !",piedarbre.jpg
40,41,42,"Nemes revient avec une énorme clé en métal à la main et un grand sourire aux lèvres. Mais sourire disparaît quand voit la colère dans tes yeux. Dire: 
[GAUCHE] 'Tu n'avais pas l'intention de me dire que seul un de nous deux pouvait sortir !'
[DROITE] Demander subtilement 'Comment est ce qu'ils fonctionnent ces 'ponts' ?'",piedarbre.jpg
41,43,50,"'Je suis coincé depuis plusieurs années et je ne pense qu'a sortir depuis le début, alors c'est peut être vrai qu'un seul peut sortir mais si il le faut c'est chacun pour soi! '
Tu es choqué par la colère qui émane de sa voix. 
[GAUCHE] Vous vous séparez, tu te débrouilleras mieux seul ! 
[DROITE] Tu ne tiens pas compte de sa colère et décide de passer outre. Tu veux rester avec lui",none
42,51,0,"'Je ne sais pas exactement, je n'ai qu'une approche théorique de ces réalités. Je ne l'ai malheureusement jamais traversé dans l'autre sens. Cependant je redoute la sortie, j'espère que tout va se passer pour le mieux.' Puis il ajoute avec tristesse : 'Pour être tout à fait honnête, j'ai peur qu'un seul de nous deux ne puisse sortir. L'un de nous pourrait finir coincé.'
Ton phœnix s'écrit alors que ce monde est peuplé de magie, vous pouvez toujours trouver un moyen. Il te vint alors l'idée que il y a certainement des objets magiques que vous pourriez utiliser. Tu en fais part à ton compagnon qui répond connaitre quelqu'un qui s'y connait en magie.
",none
43,44,0,"Le Nemes part de son côté à la recherche de la porte, te laissant derrière lui.
--> La course contre la montre commence (Le premier des 2 persos qui atteindra la porte le premier pourra sortir de ce monde)",none
44,45,0,"Mais après une heure, tu dois te rendre à l'évidence. Tu es perdu. 
[GAUCHE] Tu veux retourner au château
[DROITE] Tu veux chercher de l'aide de n'importe qui",none
45,46,0,"Sur son chemin, tu rencontres un vieillard qui tu regarde avec insistance ",184.png
46,47,0,"-Bonjour, jeune homme tu cherches pas du travail par hasard ?' 
-Bonjour, non pas particulièrement je cherche surtout à moyen de m'évader d'ici, vous comprenez...' 
-Oh mon enfant, vient avec moi nous allons trouver une solution ensemble' Tu te fais emporter par le vieillard et te retrouves dans la maison de celui-ci. ",none
47,48,0,"Une fois arrivée, le vieillard change complètement de comportement ce qui commence à t'angoisser. -Bon mon gars, je t'ai menti tu n'auras pas besoin de trouver comment sortir car tu es en ma possession maintenant. Je te nomme mon esclave cela te permettra d'oublier tes soucis miteux là.' 
[GAUCHE] 'Vous vous foutez de moi, votre idée est aberrante, vous êtes fou ! Laissez-moi partir, j'ai une urgente mission à faire...' 
[DROITE] 'Oh je suis tellement désespéré par les évènements que faites comme ça vous chante...' ",none
48,49,0,"Tu te retrouves coincé dans cette maison pour le reste de tes jours, aux services d'un homme complètement malade. Tu te demandes si Nemes est arrivé à sortir…",50.jpg
49,0,0,Histoire le prisonnier sort et le joueur est esclave ,fintragique.jpg
50,51,0,"Après un instant à vous regarder dans le blanc des yeux, vous vous pardonnez. Il vaut mieux continuer l'aventure ensemble. Nemes possède des informations qui pourraient t'être précieuses. Il dit : 'Crois moi j'avais l’intention de t'en parler, je n’étais pas sûr que ce soit vrai.'  Vous devez trouver un moyen de sortir ensemble. Nemes propose : 'Allons chez une sorcière pour trouver des infos.'",52.png
51,52,0,Vous partez chez une certaine sorcière mais lorsque vous arrivez elle n’est pas là. Vous cherchez dans ses grimoires et en trouvez un comportant une page avec comme intitulé 'liaisons et sorts d'union'.,5.jpg
52,53,0,"Mais la page est déchirée sur la moitié, tout ce que vous parvenez à lire c'est : “anneaux” “union” et “incantation”.
Le phœnix s'écrit alors: 'Il existe plusieurs exemplaires de ce livre, heureusement pour vous !'
Il vous faut chercher un autre livre ou demander à quelqu'un qui pourrait connaître ce genre d'anneaux.",21.jpeg
53,54,0,"Nemes propose aussi de prendre quelques potions qui pourraient vous être utiles. Mais l'écriture est en symboles, vous ne la comprenez pas. Il faut en prendre au hasard. 
[GAUCHE] Tu prends les potions orangé et brune 
[DROITE] Tu prends les potions verte et bleue",55.png
54,57,58,"Vous êtes toujours habillés en gardes lorsque vous entrez dans le village le plus proche du marais. Il faut partir à la recherche d'information sur ces anneaux. 
[GAUCHE] Aller à la bibliothèque 
[DROITE] Aller chez un artisan",villagemarais.jpeg
55,57,0," Vous trouvez une bibliothèque et demandez à la bibliothécaire si elle a des livres de sortilège, sur missive du roi. La bibliothécaire vous regarde étrangement, avec un certaine dose de mépris. Elle finie par vous indiquer de la suivre.",bibliothèque+bibliothècaire.png
56,55,58,"Vous décidez d'aller chez un forgeron. Il doit bien fabriquer des bagues non? L'homme que vous rencontrez vous regarde avec mépris. Tu lui demande s'il connait des anneaux magiques, permettant de lier deux personnes. Il te répond des anneaux de mariage. Tu précise une liaison au sens littéral, pas conjugal. Il te répond qu’il n’y connait rien en objets magiques mais que l'antiquaire a peut-être entendu parler de ces anneaux.
Vous vous rendez alors chez l’antiquaire et reposez la question. Il semble effrayé et répond qu’il ne sait pas. 
[GAUCHE] Aller à la bibliothèque 
[DROITE] Révéler que vous n'êtes pas des gardes",forgeron.jpeg
57,59,0,"Elle vous emmène dans la réserve et vous montre les trois livres de sortilège qu’elle possède. Nemes trouve le même que celui chez la sorcière. 
Il existe deux anneaux forgés il y a longtemps pas les elfes et qui ont le pouvoir de lier deux personnes. Tant qu'ils sont portés, les deux individus ne forment plus qu’Un: leurs pas, leur souffle, leurs pensées fusionnent. 
Il est nécessaire de réciter une courte phrase en elfique pour les activer. Attention: Il faut que les deux persos soient en accord sur leur intentions. Vous recopiez le sortilège sur une feuille.",bibliothèque+bibliothècaire.png
58,59,0,"Tu révèle au vieil homme que vous avez volé ces vêtements à des gardes qui vous retenaient prisonniers. L’antiquaire semble alors moins craintif et accepte de vous dire ce qu’il sait sur les anneaux de Harmo-Loden : 'Ils ont été forgés par les elfes il y a très longtemps pour lier deux elfes lors d’une quête sacrée pour leur peuple, mais toujours inconnue aujourd’hui. Ces deux anneaux lient en tout point les deux porteurs mais il faut un sortilège pour les activer que je ne connaît pas. Sinon ils ne sont que de simples bijoux, qui n’en restent pas moins précieux.' Vous le remerciez et quittez le magasin.",forgeron.jpeg
59,60,0,Il vous faut alors aller chez les elfes. Nemes t'explique que cela tombe à point car la vraie clé devait être forgée par les elfes.,La-foret-enchantée.png
60,61,0,"Vous partez en direction du Nord, Nemes sait où sont les elfes. Vous marchez pendant 5 jours, traversez plaines, forêts et montagnes. Entre temps vous avez échangé vos tenus de gardes contre des vêtements normaux, pour ne plus éveiller l’attention.",La-foret-enchantée.png
61,62,0,"Vous arrivez enfin sur les Terres des Elfes, qui ne font pas partie du Royaume du Roi. Elfes vivent dans de grandes forêts. Deux elfes viennent à votre rencontre et tu leurs explique votre situation. L'une demande : 'Vous avez de quoi payer?'. Heureusement, vous avez récupéré de l'argent grâce aux vêtements de garde que vous avez revendu.
Pour faire forger la clé, tu leur donne tout.",zoomvillagedeselfes.jpeg
62,63,0,"Vous rencontrez un maître forgeron-elfe. Après examinassions de la clé, il dit : 'Il est possible de créer une clé avec ce modèle mais il me faut une plume de phœnix.'",elfe.png
63,64,0,"Tu te tournes vers son compagnons plumé pour lui demander son accord. Il t'en offre une. Le forgeron vous annonce que la création de la clé prend une semaine... 'Suivez moi, je vais vous conduire à votre chambre' dit l'une des elfe tandis qu'elle se dirige vers la forêt.",elfe.png
64,65,0,Tu lui pose des questions au sujet des anneaux. Elle te répond : 'Nous ne les avons plus. Ils ont été volés lors d’une bataille opposant Elfes contre le  Royaume.' Ainsi c’est le roi qui doit être en possession des anneaux. Vous devez retourner au château et les retrouver.,192.png
65,66,0,"'ça va être très simple, j'ai tout noté sur ce plan. Lis le et tiens-toi prêt, nous partons demain' t'annonce Nemes en te tendant une feuille sur laquelle il à noté tout son plan 
(regarde l'image pour comprendre le plan)",67.jpg
66,67,68,"Vous êtes sur la route en direction du château. 'Bien, mettons nous d'accord sur notre rôle dans mon plan. Que veux tu faire ?' 
[GAUCHE] Le rôle du troubadour 
[DROITE] Le rôle du serviteur",cheminpourallerchateau.jpeg
67,69,0,"Ton rôle est de distraire le Roi en tant que troubadour.
Nemes te dit : 'Ce costume vient d'une famille connu de troubadour qui vient de deux prairies. Mets là. Présente toi devant les gardes avec ton contrat et c'est parti !'
",none
68,70,0,"Ton rôle est d'aller chercher les anneaux dans la chambre du roi. Tu es déguisé en serviteur
Nemes te dis: 'le Roi tient à ces bijoux comme la prunelle de ses yeux.'",none
69,71,0,"Tu optes pour une distraction musicale car sais jouer de la guitare et chanter. Tu te munis de ton faux contrat, subtilisé à un autre troubadour et pars en direction du château.",none
70,72,0,"Tu attends que Nemes dans le rôle du troubadour, se soit présenté devant les gardes. Tu te présentes à ton tour avec ton contrat de travail, tu apportes des tonneaux de vin pour le repas du roi.",none
71,74,0,"Tu passes devant les gardes qui vérifient tes papier, puis entres dans la salle. Ton déguisement avec toutes ces couleurs te permet de ne pas être reconnu. Les gardes devant la salle s’exclament : 'Allez entrez donc vite le Roi vous attend'",92.png
72,73,0,"Tu transportes tes 3 tonneaux dans la cours du château et avec d'autres serviteur, vous les déchargez jusque dans la cuisine. Tu récuperes alors un plat et suit les autres serviteurs pour apporter le repas dans la salle à manger.",35.png
73,75,0,"Tu entres dans la salle à manger. Personne ne fait attention à toi, ils regardent plus ce que tu as entre les mains que ton visage. Ce rôle est parfait pour ne pas attirer l'attention. En plus la coiffe et ton costume dissimulent parfaitement ton identité.",salleàmangerchateau.jpg
74,76,0,"Le roi qui affiche un air très mécontent et exige une chanson. Tandis qu'ils mangent, tu te promènes dans la pièce en jouant une mélodie calme. Quand tu aperçois ton complice, tu attires l'attention du roi en faisant mine de sortir un objet de ta poche. Cela amène les gardes à se jeter sur toi. Parfait. Toute l'attention est sur toi, Nemes peut s'infiltrer dans les appartement du roi en toute discrétion. Une fois qu'il a disparu, tu révèles un objet inoffensif. Le roi te dévisage cependant avec insistance…",salleàmangerchateau.jpg
75,77,0,"Tu repères Nemes qui te lance un regard discret. Il est prêt. Il se rapproche du roi. Tu te rapproche de la porte dissimulée derrière la commode. Soudain toute l'attention est tournée vers Nemes, les gardes se précipitent sur lui. Tu en profites pour te faufiler dans le passage.",salleàmangerchateau.jpg
76,78,0,Tu poursuis ta mélodie. Tu dois continuer de distraire la cour.,salleàmangerchateau.jpg
